layers,transform,distribution,metric,mean_monotonicity,mono_blur,mono_blur_contrast,mono_noise,mono_aliasing
single_layer_9,gram_pca,gmm_diag,fid,0.1428363303363303,0.3090909090909091,0.028571428571428574,-0.34965034965034975,0.5833333333333334
single_layer_9,gram_pca,gmm_diag,cmmd,0.19366050616050617,0.13636363636363638,0.08571428571428573,-0.23076923076923078,0.7833333333333333
single_layer_9,gram_pca,gmm_full,fid,0.1428363303363303,0.3090909090909091,0.028571428571428574,-0.34965034965034975,0.5833333333333334
single_layer_9,gram_pca,gmm_full,cmmd,0.19366050616050617,0.13636363636363638,0.08571428571428573,-0.23076923076923078,0.7833333333333333
single_layer_10,gram_pca,gmm_diag,fid,0.6058566433566432,1.0,1.0,-0.4265734265734266,0.8499999999999999
single_layer_10,gram_pca,gmm_diag,cmmd,0.8441477088489926,0.9977246841962695,0.9856107606091623,0.4803844614152615,0.9128709291752769
single_layer_10,gram_pca,gmm_full,fid,0.6058566433566432,1.0,1.0,-0.4265734265734266,0.8499999999999999
single_layer_10,gram_pca,gmm_full,cmmd,0.8441477088489926,0.9977246841962695,0.9856107606091623,0.4803844614152615,0.9128709291752769
single_layer_11,gram_pca,gmm_diag,fid,0.12484182484182485,-0.10000000000000002,-0.08571428571428573,0.2517482517482518,0.43333333333333335
single_layer_11,gram_pca,gmm_diag,cmmd,0.0972985347985348,-0.1272727272727273,-0.14285714285714288,0.3426573426573427,0.31666666666666665
single_layer_11,gram_pca,gmm_full,fid,0.12484182484182485,-0.10000000000000002,-0.08571428571428573,0.2517482517482518,0.43333333333333335
single_layer_11,gram_pca,gmm_full,cmmd,0.0972985347985348,-0.1272727272727273,-0.14285714285714288,0.3426573426573427,0.31666666666666665
single_layer_12,gram_pca,gmm_diag,fid,0.17506243756243758,-0.15454545454545454,0.028571428571428574,0.7762237762237763,0.049999999999999996
single_layer_12,gram_pca,gmm_diag,cmmd,0.1339077589077589,-0.08181818181818183,-0.2571428571428572,0.7412587412587414,0.13333333333333333
single_layer_12,gram_pca,gmm_full,fid,0.17506243756243758,-0.15454545454545454,0.028571428571428574,0.7762237762237763,0.049999999999999996
single_layer_12,gram_pca,gmm_full,cmmd,0.1339077589077589,-0.08181818181818183,-0.2571428571428572,0.7412587412587414,0.13333333333333333
aggregated_11_to_15,gram_pca,gmm_diag,fid,-0.1442973692973693,-0.36363636363636365,0.14285714285714288,0.07692307692307693,-0.43333333333333335
aggregated_11_to_15,gram_pca,gmm_diag,cmmd,-0.03723776223776225,-0.29090909090909095,0.6,0.04195804195804196,-0.5
aggregated_11_to_15,gram_pca,gmm_full,fid,-0.1442973692973693,-0.36363636363636365,0.14285714285714288,0.07692307692307693,-0.43333333333333335
aggregated_11_to_15,gram_pca,gmm_full,cmmd,-0.03723776223776225,-0.29090909090909095,0.6,0.04195804195804196,-0.5
