date,modele_backbone,config_couches,indices_couches,modules_extraits,position_couche,nb_couches_modele,transform,use_gram,use_pca,pca_dim,distribution,dist_type,dist_n_components,dist_covariance_type,dist_bandwidth,metrique_distance,monotonie_moyenne,mono_blur,mono_blur_contrast,mono_noise,mono_aliasing,image_size,n_images_inference,n_images_evaluation,batch_size,random_seed
2026-02-09 16:02:05,dinov2_vitb14,single_layer_5,5,blocks.4,5 / 14,14,gram_pca,True,True,10,gmm_full,gmm,5,full,,cmmd,0.919648,0.951076,0.845154,0.982362,0.9,224,100,50,512,42
2026-02-09 16:02:05,dinov2_vitb14,single_layer_6,6,blocks.5,6 / 14,14,gram_pca,True,True,10,gmm_diag,gmm,5,diag,,fid,0.915724,0.951076,0.845154,1.0,0.866667,224,100,50,512,42
2026-02-09 16:02:05,dinov2_vitb14,single_layer_6,6,blocks.5,6 / 14,14,gram_pca,True,True,10,gmm_diag,gmm,5,diag,,cmmd,0.918499,0.951076,0.845154,0.982362,0.895405,224,100,50,512,42
2026-02-09 16:02:05,dinov2_vitb14,single_layer_6,6,blocks.5,6 / 14,14,gram_pca,True,True,10,gmm_full,gmm,5,full,,fid,0.915724,0.951076,0.845154,1.0,0.866667,224,100,50,512,42
2026-02-09 16:02:05,dinov2_vitb14,single_layer_6,6,blocks.5,6 / 14,14,gram_pca,True,True,10,gmm_full,gmm,5,full,,cmmd,0.918499,0.951076,0.845154,0.982362,0.895405,224,100,50,512,42
2026-02-09 16:02:05,dinov2_vitb14,single_layer_7,7,blocks.6,7 / 14,14,gram_pca,True,True,10,gmm_diag,gmm,5,diag,,fid,0.915724,0.951076,0.845154,1.0,0.866667,224,100,50,512,42
2026-02-09 16:02:05,dinov2_vitb14,single_layer_7,7,blocks.6,7 / 14,14,gram_pca,True,True,10,gmm_diag,gmm,5,diag,,cmmd,0.893577,0.951076,0.845154,0.964401,0.813676,224,100,50,512,42
2026-02-09 16:02:05,dinov2_vitb14,single_layer_7,7,blocks.6,7 / 14,14,gram_pca,True,True,10,gmm_full,gmm,5,full,,fid,0.915724,0.951076,0.845154,1.0,0.866667,224,100,50,512,42
2026-02-09 16:02:05,dinov2_vitb14,single_layer_7,7,blocks.6,7 / 14,14,gram_pca,True,True,10,gmm_full,gmm,5,full,,cmmd,0.893577,0.951076,0.845154,0.964401,0.813676,224,100,50,512,42
2026-02-09 16:02:05,dinov2_vitb14,single_layer_8,8,blocks.7,8 / 14,14,gram_pca,True,True,10,gmm_diag,gmm,5,diag,,fid,0.919891,0.951076,0.845154,1.0,0.883333,224,100,50,512,42
2026-02-09 16:02:05,dinov2_vitb14,single_layer_8,8,blocks.7,8 / 14,14,gram_pca,True,True,10,gmm_diag,gmm,5,diag,,cmmd,0.893222,0.951076,0.845154,0.936815,0.839841,224,100,50,512,42
2026-02-09 16:02:05,dinov2_vitb14,single_layer_8,8,blocks.7,8 / 14,14,gram_pca,True,True,10,gmm_full,gmm,5,full,,fid,0.919891,0.951076,0.845154,1.0,0.883333,224,100,50,512,42
2026-02-09 16:02:05,dinov2_vitb14,single_layer_8,8,blocks.7,8 / 14,14,gram_pca,True,True,10,gmm_full,gmm,5,full,,cmmd,0.893222,0.951076,0.845154,0.936815,0.839841,224,100,50,512,42
